sentence1,sentence2,whole_sim,subject_sim,action_sim,obj_sim
"He has generally supported the existing outlook by the Fed for three rate hikes but if the stimulus from tax cuts boosts both growth and inflation, Powell could soon face a question of whether he needs to do more or do it faster.","""As we approach next week's FOMC day, we should see gold come under pressure as it struggles to compete against interest-bearing assets,"" said Daniel Ghali, commodities strategist at TD Securities.",0,0,0,0
"He has generally supported the existing outlook by the Fed for three rate hikes but if the stimulus from tax cuts boosts both growth and inflation, Powell could soon face a question of whether he needs to do more or do it faster.",Treasury yields shrank further on Wednesday after Federal Reserve Chairman Jerome Powell's upbeat view on the economy raised speculation the U.S. central bank may raise interest rates faster.,3,0,0,4
"He has generally supported the existing outlook by the Fed for three rate hikes but if the stimulus from tax cuts boosts both growth and inflation, Powell could soon face a question of whether he needs to do more or do it faster.","TD Securities: Bearish view on the US dollar 11 Hours Ago U.S. Treasury yields are being driven by global economic growth rather than the dollar, Richard Kelly, head of global strategy at TD Securities, said.",0,0,0,0
"He has generally supported the existing outlook by the Fed for three rate hikes but if the stimulus from tax cuts boosts both growth and inflation, Powell could soon face a question of whether he needs to do more or do it faster.","The U.S. economy should grow at a good clip this year, boosted by tax cuts, two Fed officials said on Wednesday, though they disagreed on how close the economy is to overheating and the need for rate hikes this year.",0,0,0,1
"""It shows how sensitive the markets are around the discussion on U.S. dollar and trade in general,"" said Mark McCormick, North America head of foreign exchange strategy at TD Securities.","""It seems like the market is positioned for some hawkishness at this meeting, said Gennadiy Goldberg, an interest rate strategist at TD Securities in New York. ""If he strikes a more even tone or tries to maintain a more even keel, there is a chance that the market could actually react dovishly to this meeting.""",3,4,5,4
"""It shows how sensitive the markets are around the discussion on U.S. dollar and trade in general,"" said Mark McCormick, North America head of foreign exchange strategy at TD Securities.","""I would expect the recent correction in equity prices to show a little bit more bid (in gold), but at the moment it doesn't seem to be the case,"" said Daniel Ghali, commodities strategist at TD Securities in Toronto",2,4,5,0
"""It shows how sensitive the markets are around the discussion on U.S. dollar and trade in general,"" said Mark McCormick, North America head of foreign exchange strategy at TD Securities.","On a technical level, people have been watching it for a long time. Yields have been trending lower for multiple decades really, so some have argued in the marketplace that we are right up on the cusp of a regime shift,"" said TD Securities commodities strategist Daniel Ghali.",2,4,5,2
"""It shows how sensitive the markets are around the discussion on U.S. dollar and trade in general,"" said Mark McCormick, North America head of foreign exchange strategy at TD Securities.","The dollar dipped briefly, then rose as investors reckoned the data would not deter U.S. Federal Reserve from raising interest rates multiple times this year though at a gradual pace.",0,0,0,1
"Though rising long-term interest rates and recent equity market volatility have tightened financial conditions, Powell said, ""we do not see these developments as weighing heavily on the outlook for economic activity, the labor market and inflation.""","""For the moment it looks like gold appears intent on challenging the 2017 highs around $1,357,"" said Daniel Ghali, commodities strategist at TD Securities in Toronto",2,3,5,0
"Though rising long-term interest rates and recent equity market volatility have tightened financial conditions, Powell said, ""we do not see these developments as weighing heavily on the outlook for economic activity, the labor market and inflation.""","""It's not good or bad. It's a surprise and markets aren't priced for it. There's this pivot away from the U.S. dollar bull market. Part of it is driven by global reflation and part of it is driven by Trump, "" said Mark McCormick, North American head of foreign exchange strategy at TD Securities.",1,3,5,1
"Though rising long-term interest rates and recent equity market volatility have tightened financial conditions, Powell said, ""we do not see these developments as weighing heavily on the outlook for economic activity, the labor market and inflation.""","""There’s a lot of investment-grade corporate supply that is normally expected in January, and we’re seeing some of that come through this week,"" said Priya Misra, head of global rates strategy at TD Securities in New York.",1,3,5,0
"Though rising long-term interest rates and recent equity market volatility have tightened financial conditions, Powell said, ""we do not see these developments as weighing heavily on the outlook for economic activity, the labor market and inflation.""","""They're starting to doubt that the Fed will hike rates as much as they said they will. That provides a more attractive environment for gold,"" said Daniel Ghali, commodities strategist at TD Securities in Toronto.",1,3,5,1
"U.S. economic growth and the expectation for higher interest rates should also give the rally in the dollar more fuel, said Gina Sanchez , CEO of Chantico Global.","The bulls are finding comfort in sound fundamentals and sticking to a familiar script: So long as Federal Reserve Chairman Jerome Powell takes on the mantle of gradual rate hikes, the ""Goldilocks"" growth story stays intact and earnings remain robust.",0,0,0,1
"U.S. economic growth and the expectation for higher interest rates should also give the rally in the dollar more fuel, said Gina Sanchez , CEO of Chantico Global.","But while the immediate horizon appears clear, Powell faces the risk that today's sturdy economy, low inflation and rising stock market could reverse course in the coming months or years, forcing him to come up with the right remedies.",1,3,0,1
"U.S. economic growth and the expectation for higher interest rates should also give the rally in the dollar more fuel, said Gina Sanchez , CEO of Chantico Global.","The Fed also provides new economic and interest rate forecasts after that meeting, and Powell will also speak publicly to the press after the meeting. ",2,0,0,2
"U.S. economic growth and the expectation for higher interest rates should also give the rally in the dollar more fuel, said Gina Sanchez , CEO of Chantico Global.","""We've seen some data that in my case will add some confidence to my view that inflation is moving up to target,"" Powell told lawmakers.",3,0,5,3
 Most U.S. Treasury yields added to their early increases on Tuesday as Federal Reserve Chairman Jerome Powell hinted the U.S. central bank would stick its current path of gradual rate hikes as inflation remains below its 2-percent goal,"""We've seen some data that in my case will add some confidence to my view that inflation is moving up to target,"" Powell told lawmakers.",4,0,0,3
 Most U.S. Treasury yields added to their early increases on Tuesday as Federal Reserve Chairman Jerome Powell hinted the U.S. central bank would stick its current path of gradual rate hikes as inflation remains below its 2-percent goal,"The U.S. economy should grow at a good clip this year, boosted by tax cuts, two Fed officials said on Wednesday, though they disagreed on how close the economy is to overheating and the need for rate hikes this year.",1,0,0,1
 Most U.S. Treasury yields added to their early increases on Tuesday as Federal Reserve Chairman Jerome Powell hinted the U.S. central bank would stick its current path of gradual rate hikes as inflation remains below its 2-percent goal," Gold prices held on to losses from the previous session early on Thursday, after the precious metal fell to four-week lows on a firmer dollar amid expectations of more U.S. interest rate hikes.",1,2,0,2
 Most U.S. Treasury yields added to their early increases on Tuesday as Federal Reserve Chairman Jerome Powell hinted the U.S. central bank would stick its current path of gradual rate hikes as inflation remains below its 2-percent goal,The dramatic moves in equities and bonds this week were stoked by concerns about signs of inflation amid an improving global backdrop and speculation whether the Federal Reserve and other major central banks would act quicker to raise interest rates.,2,0,0,2
"""There’s a lot of investment-grade corporate supply that is normally expected in January, and we’re seeing some of that come through this week,"" said Priya Misra, head of global rates strategy at TD Securities in New York.","Mark McCormick, head of North America foreign exchange strategy at TD Securities, said the dollar was wobbling in response to Powell.",1,4,5,0
"""There’s a lot of investment-grade corporate supply that is normally expected in January, and we’re seeing some of that come through this week,"" said Priya Misra, head of global rates strategy at TD Securities in New York.","As Jerome Powell, Trump's hand-picked new Fed chairman, said at a news conference after the central bank's most recent meeting in March, ""We're trying to take the middle ground, and the committee continues to believe that the middle ground consists of further gradual increases in the federal-funds rate.""",1,3,5,0
"""There’s a lot of investment-grade corporate supply that is normally expected in January, and we’re seeing some of that come through this week,"" said Priya Misra, head of global rates strategy at TD Securities in New York.",Jerome Powell heads for his first interest rate increase as Federal Reserve chairman this week with an unanswered question looming above others: could his optimism about the U.S. economy lead to more hikes than markets have prepared for? ,0,3,0,0
"""There’s a lot of investment-grade corporate supply that is normally expected in January, and we’re seeing some of that come through this week,"" said Priya Misra, head of global rates strategy at TD Securities in New York.","That provides a more attractive environment for gold,"" said Daniel Ghali, commodities strategist at TD Securities in Toronto.",1,4,5,0
Jerome Powell heads for his first interest rate increase as Federal Reserve chairman this week with an unanswered question looming above others: could his optimism about the U.S. economy lead to more hikes than markets have prepared for? ,"Federal Reserve chair Jerome Powell has said little about the sharp fall in Wall Street stocks this month, besides offering the platitude at his swearing-in ceremony last week that ""we will remain alert to any developing risks to financial stability.""",1,5,1,0
Jerome Powell heads for his first interest rate increase as Federal Reserve chairman this week with an unanswered question looming above others: could his optimism about the U.S. economy lead to more hikes than markets have prepared for? ,The dramatic moves in equities and bonds this week were stoked by concerns about signs of inflation amid an improving global backdrop and speculation whether the Federal Reserve and other major central banks would act quicker to raise interest rates.,1,0,0,2
Jerome Powell heads for his first interest rate increase as Federal Reserve chairman this week with an unanswered question looming above others: could his optimism about the U.S. economy lead to more hikes than markets have prepared for? ,"""It seems like the market is positioned for some hawkishness at this meeting, said Gennadiy Goldberg, an interest rate strategist at TD Securities in New York. ""If he strikes a more even tone or tries to maintain a more even keel, there is a chance that the market could actually react dovishly to this meeting.""",1,3,0,0
Jerome Powell heads for his first interest rate increase as Federal Reserve chairman this week with an unanswered question looming above others: could his optimism about the U.S. economy lead to more hikes than markets have prepared for? ,"""I would expect the recent correction in equity prices to show a little bit more bid (in gold), but at the moment it doesn't seem to be the case,"" said Daniel Ghali, commodities strategist at TD Securities in Toronto",0,3,0,0
"The report ""added pressure on the U.S. dollar and helped gold,"" said Bart Melek, head of commodity strategy at TD Securities in Toronto. ","Federal Reserve chair Jerome Powell has said little about the sharp fall in Wall Street stocks this month, besides offering the platitude at his swearing-in ceremony last week that ""we will remain alert to any developing risks to financial stability.""",1,3,5,0
"The report ""added pressure on the U.S. dollar and helped gold,"" said Bart Melek, head of commodity strategy at TD Securities in Toronto. ","""It's not good or bad. It's a surprise and markets aren't priced for it. There's this pivot away from the U.S. dollar bull market. Part of it is driven by global reflation and part of it is driven by Trump, "" said Mark McCormick, North American head of foreign exchange strategy at TD Securities.",2,4,5,2
"The report ""added pressure on the U.S. dollar and helped gold,"" said Bart Melek, head of commodity strategy at TD Securities in Toronto. ","Mark McCormick, head of North America foreign exchange strategy at TD Securities, said the dollar was wobbling in response to Powell.",4,4,5,4
"The report ""added pressure on the U.S. dollar and helped gold,"" said Bart Melek, head of commodity strategy at TD Securities in Toronto. ","""They're starting to doubt that the Fed will hike rates as much as they said they will. That provides a more attractive environment for gold,"" said Daniel Ghali, commodities strategist at TD Securities in Toronto.",4,4,5,3.5
New Federal Reserve Chairman Jerome Powell told lawmakers he personally believed the economy has strengthened since December but that won't stop the Fed from sticking to its plan for gradual interest rate hikes.,"""I think you're going to continue to see higher rates until Powell shoots something across the bow. He either gets rates going higher or he slows it down,"" said Andrew Brenner of National Alliance.",3,0,5,3
New Federal Reserve Chairman Jerome Powell told lawmakers he personally believed the economy has strengthened since December but that won't stop the Fed from sticking to its plan for gradual interest rate hikes.,"Federal Reserve chair Jerome Powell has said little about the sharp fall in Wall Street stocks this month, besides offering the platitude at his swearing-in ceremony last week that ""we will remain alert to any developing risks to financial stability.""",3,5,5,2
New Federal Reserve Chairman Jerome Powell told lawmakers he personally believed the economy has strengthened since December but that won't stop the Fed from sticking to its plan for gradual interest rate hikes.,"""We've seen some data that in my case will add some confidence to my view that inflation is moving up to target,"" Powell told lawmakers.",4,5,5,3
New Federal Reserve Chairman Jerome Powell told lawmakers he personally believed the economy has strengthened since December but that won't stop the Fed from sticking to its plan for gradual interest rate hikes.,The dramatic moves in equities and bonds this week were stoked by concerns about signs of inflation amid an improving global backdrop and speculation whether the Federal Reserve and other major central banks would act quicker to raise interest rates.,2,0,0,2
"The Fed also provides new economic and interest rate forecasts after that meeting, and Powell will also speak publicly to the press after the meeting. ","Though rising long-term interest rates and recent equity market volatility have tightened financial conditions, Powell said, ""we do not see these developments as weighing heavily on the outlook for economic activity, the labor market and inflation.""",4,4,5,4
"The Fed also provides new economic and interest rate forecasts after that meeting, and Powell will also speak publicly to the press after the meeting. ","The report ""added pressure on the U.S. dollar and helped gold,"" said Bart Melek, head of commodity strategy at TD Securities in Toronto. ",1,2,2,0
"The Fed also provides new economic and interest rate forecasts after that meeting, and Powell will also speak publicly to the press after the meeting. ","Mark McCormick, head of North America foreign exchange strategy at TD Securities, said the dollar was wobbling in response to Powell.",1,2,5,0
"The Fed also provides new economic and interest rate forecasts after that meeting, and Powell will also speak publicly to the press after the meeting. ","""They're starting to doubt that the Fed will hike rates as much as they said they will. That provides a more attractive environment for gold,"" said Daniel Ghali, commodities strategist at TD Securities in Toronto.",4,2,5,2